Unnamed: 0,Timestamp,SLPR7:Voltage A:Angle,SLPR7:Voltage B:Angle,SLPR7:Voltage C:Angle,RAICHUR 400 KV:Frequency,SLPR7:Frequency,Raichur-SLPR1(MVAR):Analog,SLPR-RACHR1 (MVAR):Analog,RACHR-SLPR1-7 Va:Voltage A:Magnitude,RACHR-SLPR1-7 Vb:Voltage B:Magnitude,RACHR-SLPR1-7 Vc:Voltage C:Magnitude,SLPR7:Voltage A:Magnitude,SLPR7:Voltage B:Magnitude,SLPR7:Voltage C:Magnitude,Raichur-SLPR1(MW):Analog,SLPR-RACHR1 (MW):Analog,anomaly,deviation
21354,2014/12/20 05:44:09.680,-46.7782,-167.3904,72.584,49.9574,49.9577,-17678820.0,-233533744.0,443217.9375,445388.3125,441883.4688,431999.1563,432960.1875,431211.1875,-198985024.0,200449296.0,1,29.71712080465072
21355,2014/12/20 05:44:09.720,-47.3909,-168.002,71.9699,49.9573,49.9577,-17606088.0,-233534512.0,443204.4375,445377.0,441872.6563,431979.0,432957.6563,431206.0,-199105760.0,200930576.0,1,29.698937687120313
21248,2014/12/20 05:44:05.440,18.4913,-102.1225,137.8591,49.9564,49.9567,-19105376.0,-233090496.0,443345.1875,445502.5,442012.1875,432131.625,433075.0625,431345.7188,-187789168.0,189237552.0,1,29.661420404416532
21247,2014/12/20 05:44:05.400,19.1175,-101.497,138.4836,49.9563,49.9567,-18687912.0,-233042720.0,443356.8125,445520.125,442021.0938,432141.9688,433098.625,431359.5938,-187336448.0,188812064.0,1,29.639451477765917
21251,2014/12/20 05:44:05.560,16.6194,-103.9941,135.986,49.9563,49.9567,-18025672.0,-233291984.0,443326.625,445489.5313,441993.5625,432102.8125,433051.125,431319.9375,-189116048.0,190556960.0,1,29.638398284505907
21356,2014/12/20 05:44:09.760,-48.0,-168.6094,71.3631,49.9571,49.9578,-17476542.0,-233615680.0,443196.375,445366.1875,441861.75,431966.4375,432931.1875,431196.375,-199912192.0,201607008.0,1,29.606434626711827
21249,2014/12/20 05:44:05.480,17.8686,-102.7443,137.2363,49.9565,49.9567,-19187046.0,-233131760.0,443335.2813,445490.5938,442006.7188,432120.7813,433066.875,431341.7813,-188298240.0,189707968.0,1,29.604249968980042
21252,2014/12/20 05:44:05.600,15.9982,-104.6173,135.363,49.9562,49.9567,-17531724.0,-233344176.0,443322.625,445495.4375,441986.2188,432107.2813,433061.9688,431314.3125,-189604720.0,191159584.0,1,29.596697780890175
21250,2014/12/20 05:44:05.520,17.2459,-103.3661,136.6129,49.9565,49.9567,-18784920.0,-233218528.0,443329.375,445487.0625,442000.7813,432107.375,433061.0625,431337.75,-188630176.0,190146448.0,1,29.59003610120582
21329,2014/12/20 05:44:08.680,-31.4281,-152.0399,87.9366,49.9569,49.9571,-19088532.0,-233126048.0,443383.375,445564.2813,442063.25,432178.0938,433151.6563,431417.75,-188077408.0,190696128.0,1,29.58939509697386
21246,2014/12/20 05:44:05.360,19.7351,-100.8791,139.1012,49.9563,49.9567,-18596908.0,-232929120.0,443368.8438,445541.0938,442035.0,432157.8438,433118.0625,431380.0,-186925296.0,188319408.0,1,29.56258168630022
21253,2014/12/20 05:44:05.640,15.3783,-105.2361,134.7418,49.9562,49.9567,-17403048.0,-233432544.0,443315.8125,445495.5,441979.0313,432102.75,433071.1875,431323.8125,-190354864.0,191805808.0,1,29.53292563969599
21357,2014/12/20 05:44:09.800,-48.6071,-169.2172,70.7582,49.9571,49.9579,-17334930.0,-233776096.0,443196.875,445357.2813,441851.9688,431964.0938,432905.75,431177.5313,-200716480.0,202223488.0,1,29.510698472286563
21254,2014/12/20 05:44:05.680,14.7516,-105.8604,134.1158,49.9564,49.9565,-17695844.0,-233587408.0,443305.6563,445486.8438,441973.9063,432080.5938,433051.6563,431318.25,-191090816.0,192335392.0,1,29.453507654761665
21328,2014/12/20 05:44:08.640,-30.808,-151.4211,88.5566,49.957,49.957,-19344924.0,-233021952.0,443389.25,445566.4688,442062.3125,432183.625,433152.8125,431413.1875,-187956992.0,190562672.0,1,29.448284723084104
21245,2014/12/20 05:44:05.320,20.3581,-100.2553,139.7245,49.9565,49.9567,-18819726.0,-232869328.0,443379.1875,445563.2188,442054.75,432169.5,433132.7188,431397.875,-186319424.0,187778336.0,1,29.44592747671284
